Strategy,StrategyId,Tournament,Game,Balance,Profit,IsWinner,IsEliminated
"Aggressive Maximizer","aggressive_maximizer",1,0,500,0,false,false
"Aggressive Maximizer","aggressive_maximizer",1,1,430,-70,false,false
"Aggressive Maximizer","aggressive_maximizer",1,2,450,20,false,false
"Aggressive Maximizer","aggressive_maximizer",1,3,470,20,false,false
"Aggressive Maximizer","aggressive_maximizer",2,0,470,0,false,false
"Aggressive Maximizer","aggressive_maximizer",2,1,670,200,true,false
"Aggressive Maximizer","aggressive_maximizer",2,2,630,-40,false,false
"Aggressive Maximizer","aggressive_maximizer",2,3,800,170,true,false
"Diplomatic Builder","diplomatic_builder",1,0,500,0,false,false
"Diplomatic Builder","diplomatic_builder",1,1,430,-70,false,false
"Diplomatic Builder","diplomatic_builder",1,2,420,-10,false,false
"Diplomatic Builder","diplomatic_builder",1,3,416,-4,false,false
"Diplomatic Builder","diplomatic_builder",2,0,416,0,false,false
"Diplomatic Builder","diplomatic_builder",2,1,346,-70,false,false
"Diplomatic Builder","diplomatic_builder",2,2,306,-40,false,false
"Diplomatic Builder","diplomatic_builder",2,3,236,-70,false,false
"Strategic Opportunist","strategic_opportunist",1,0,500,0,false,false
"Strategic Opportunist","strategic_opportunist",1,1,670,170,true,false
"Strategic Opportunist","strategic_opportunist",1,2,720,50,true,false
"Strategic Opportunist","strategic_opportunist",1,3,716,-4,false,false
"Strategic Opportunist","strategic_opportunist",2,0,716,0,false,false
"Strategic Opportunist","strategic_opportunist",2,1,646,-70,false,false
"Strategic Opportunist","strategic_opportunist",2,2,648,2,false,false
"Strategic Opportunist","strategic_opportunist",2,3,578,-70,false,false
"Mathematical Analyzer","mathematical_analyzer",1,0,500,0,false,false
"Mathematical Analyzer","mathematical_analyzer",1,1,610,110,false,false
"Mathematical Analyzer","mathematical_analyzer",1,2,570,-40,false,false
"Mathematical Analyzer","mathematical_analyzer",1,3,566,-4,true,false
"Mathematical Analyzer","mathematical_analyzer",2,0,566,0,false,false
"Mathematical Analyzer","mathematical_analyzer",2,1,496,-70,false,false
"Mathematical Analyzer","mathematical_analyzer",2,2,636,140,true,false
"Mathematical Analyzer","mathematical_analyzer",2,3,566,-70,false,false
"Social Manipulator","social_manipulator",1,0,500,0,false,false
"Social Manipulator","social_manipulator",1,1,430,-70,false,false
"Social Manipulator","social_manipulator",1,2,390,-40,false,false
"Social Manipulator","social_manipulator",1,3,386,-4,false,false
"Social Manipulator","social_manipulator",2,0,386,0,false,false
"Social Manipulator","social_manipulator",2,1,316,-70,false,false
"Social Manipulator","social_manipulator",2,2,294,-22,false,false
"Social Manipulator","social_manipulator",2,3,224,-70,false,false
"Strategy Identifier","strategy_identifier",1,0,500,0,false,false
"Strategy Identifier","strategy_identifier",1,1,430,-70,false,false
"Strategy Identifier","strategy_identifier",1,2,450,20,false,false
"Strategy Identifier","strategy_identifier",1,3,446,-4,false,false
"Strategy Identifier","strategy_identifier",2,0,446,0,false,false
"Strategy Identifier","strategy_identifier",2,1,526,80,false,false
"Strategy Identifier","strategy_identifier",2,2,486,-40,false,false
"Strategy Identifier","strategy_identifier",2,3,596,110,false,false
